,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ADAMANTINA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
MARCIO A SPOSITO TRANSPORTES LTDA,"AVENIDA RIO BRANCO, 1625",Vila Industrial,IPIRANGA,"6,99",05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,99",,,,
DESVIO PADRÃO,0,,,,
VALOR MÍNIMO,"6,99",,,,
VALOR MÁXIMO,"6,99",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
