,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - AVARE,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO SAO PEDRO DE AVARE LTDA,"RUA AMAZONAS, 1068",Centro,BRANCA,"6,399",05/05/2022
AUTO POSTO PANEMAO LTDA,"AVENIDA PARANAPANEMA, 821",Jardim Rino e Rino,BRANCA,"6,5",05/05/2022
AUTO POSTO BIZUNGA LTDA,"RUA MINAS GERAIS, 797",Centro,IPIRANGA,"6,55",05/05/2022
AUTO POSTO BIZUNGA LTDA,"AVENIDA JOSELYR MOURA BASTOS, 51",Jardim Paineiras,IPIRANGA,"6,66",05/05/2022
SILVEIRA & DUARTE AVARÉ LTDA,"AVENIDA PINHEIRO MACHADO, 777",Jardim São Paulo,BRANCA,"6,69",05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,56",,,,
DESVIO PADRÃO,"0,119",,,,
VALOR MÍNIMO,"6,399",,,,
VALOR MÁXIMO,"6,69",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
