,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - BAURU,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
POSTO ICCAR LTDA,"RUA ALTO ACRE, 1-80",Jardim Bela Vista,BRANCA,"6,33",03/05/2022
GRAMINHA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA RODRIGUES ALVES, 22-56",Vl Cardia,BRANCA,"6,399",03/05/2022
POSTO DE COMBUSTÍVEIS PADILHÃO LTDA.,"RUA BERNARDINO DE CAMPOS, 12-15",Vila Souto,BRANCA,"6,49",04/05/2022
REDE LK DE POSTOS LTDA,"RUA EZEQUIEL RAMOS, 1-20",Centro,RAIZEN,"6,499",03/05/2022
PANDORA AUTOPOSTO LTDA.,"AVENIDA NACOES UNIDAS QUADRA, 17-105",Vila Santo Antonio,VIBRA ENERGIA,"6,499",03/05/2022
E. A. TUSCHI COMBUSTIVEIS,"AVENIDA COMENDADOR JOSÉ DA SILVA MARTHA, 13-21",Vila Samaritana,BRANCA,"6,57",04/05/2022
POSTO RECINTO LTDA - ME.,"AVENIDA COMENDADOR JOSÉ DA SILVA MARTHA, 35-48",Jardim Shangri-la,BRANCA,"6,57",04/05/2022
POSTO DE COMBUSTIVEIS TOP CASTELO LTDA,"AVENIDA CASTELO BRANCO,, 19-20",Vila Paulista,BRANCA,"6,699",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,507",,,,
DESVIO PADRÃO,"0,112",,,,
VALOR MÍNIMO,"6,33",,,,
VALOR MÁXIMO,"6,699",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
