,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - BEBEDOURO,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
TIGRAO AUTO POSTO SETOR NORTE LTDA,"AVENIDA VICENTE CERIANA CEZAR, 50",Jardim Claudia I,BRANCA,"6,29",02/05/2022
AUTO POSTO BRUTUS BEBEDOURO LTDA,"RUA NORIVAL RODRIGUES FARIA, 50",Jardim Julia,BRANCA,"6,35",02/05/2022
AUTO POSTO COMENDADOR DE BEBEDOURO EIRELI,"AVENIDA AMELIA BERNARDINI CUTRALE, 2.085",Residencial San Conrado,BRANCA,"6,44",02/05/2022
AUTO POSTO UNICOOP DE BEBEDOURO LTDA,"AVENIDA QUITO STAMATO, 22",Centro,RAIZEN,"6,599",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,42",,,,
DESVIO PADRÃO,"0,134",,,,
VALOR MÍNIMO,"6,29",,,,
VALOR MÁXIMO,"6,599",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
