,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - BIRIGUI,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO BRISAS DE BIRIGUI EIRELI,"RUA SAUDADES, 1685 TERREO",Centro,IPIRANGA,"6,37",06/05/2022
POSTO NOVE DE JULHO BIRIGUI LTDA,"RUA JOSE DOMINGOS ALONSO, 44",Novo Jardim Stabile,RAIZEN,"6,6",06/05/2022
JN COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA,"ALAMEDA NEVIO DE CUNTO, 835 SLJ",Colinas Parque Residencial,BRANCA,"6,7",06/05/2022
POSTO J3 ARACATUBA LTDA,"AVENIDA EUCLIDES MIRAGAIA, 3300",Novo Jardim Stabile,BRANCA,"6,899",06/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,642",,,,
DESVIO PADRÃO,"0,22",,,,
VALOR MÍNIMO,"6,37",,,,
VALOR MÁXIMO,"6,899",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
