,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - BOTUCATU,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO CONDE DE SERRA NEGRA LTDA,"RUA JOAQUIM NABUCO, 100",Vila Maria,IPIRANGA,"6,349",03/05/2022
AUTO POSTO M E A LTDA,"RUA SANTOS DUMONT, 195",Vila Cidade Jardim,BRANCA,"6,379",03/05/2022
LUCHES E MORAES COMERCIO DE COMBUSTIVEIS BOTUCATU LTDA,"RUA CARLOS DE ROSA, 5",Santa Maria I,VIBRA ENERGIA,"6,399",03/05/2022
AUTO POSTO REAL DE BOTUCATU LTDA,"AVENIDA FLORIANO PEIXOTO, 850",Centro,RAIZEN,"6,45",03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,394",,,,
DESVIO PADRÃO,"0,042",,,,
VALOR MÍNIMO,"6,349",,,,
VALOR MÁXIMO,"6,45",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
