,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - CACAPAVA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
REDE DE POSTOS SETE ESTRELAS LTDA,"RODOVIA PRESIDENTE DUTRA, S/N KM 133",Santa Luzia,BRANCA,"5,99",05/05/2022
AUTO POSTO BRASIL DE CAÇAPAVA LTDA,"AVENIDA DOUTOR JOSE DE MOURA RESENDE, 04",Vera Cruz,VIBRA ENERGIA,"6,19",05/05/2022
AUTO POSTO 4R LTDA.,"RODOVIA PRESIDENTE DUTRA, S/N KM 124",Campo Grande,RAIZEN,"6,2",05/05/2022
AUTO POSTO VASCONCELOS DE CAÇAPAVA LTDA,"RUA TENENTE MESQUITA, 254",Vila Pantaleao,VIBRA ENERGIA,"6,78",05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,29",,,,
DESVIO PADRÃO,"0,341",,,,
VALOR MÍNIMO,"5,99",,,,
VALOR MÁXIMO,"6,78",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
