,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - CARAGUATATUBA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO ASA DELTA LTDA,"RUA BENEDITO R DOS SANTOS FILHO, 34 CASA 01",Ponta Santa Marina,IPIRANGA,"6,594",03/05/2022
AUTO POSTO BRITANIA DO LITORAL LTDA,"RUA ALVARO THEODORO DA CRUZ, 415",Jardim Britania,IPIRANGA,"6,599",03/05/2022
AUTO POSTO TREVO DE CARAGUÁ LTDA.,"PRAÇA PRIMEIRO CENTENÁRIO, 60",Caputera,VIBRA ENERGIA,"6,699",03/05/2022
AUTO POSTO MAR VIRADO LTDA.,"RUA DOUTOR ALTINO ARANTES, 116",Centro,VIBRA ENERGIA,"6,799",03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,673",,,,
DESVIO PADRÃO,"0,097",,,,
VALOR MÍNIMO,"6,594",,,,
VALOR MÁXIMO,"6,799",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
