,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - CATANDUVA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
POSTO MEDITERRANEO CATANDUVENSE LTDA,"RUA OLIMPIA, 995",Distrito Industrial,BRANCA,"6,299",02/05/2022
POSTO PIONEIRO DE CATANDUVA LTDA,"RUA OLIMPIA, 1390",Parque Ipiranga,IPIRANGA,"6,299",02/05/2022
AVIP - COMERCIO DE PRODUTOS DE PETROLEO LTDA,"AVENIDA SAO DOMINGOS, 949",Vila Rodrigues,RAIZEN,"6,399",02/05/2022
VENI COMERCIO DE COMBUSTIVEIS LTDA,"RUA OLIMPIA, 680",Vl Paulista,VIBRA ENERGIA,"6,399",02/05/2022
AUTO POSTO PARQUE GLORIA LTDA,"RUA ANTONIO GIROL, 693",Parque Gloria I,BRANCA,"6,6",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,399",,,,
DESVIO PADRÃO,"0,123",,,,
VALOR MÍNIMO,"6,299",,,,
VALOR MÁXIMO,"6,6",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
