Classes,Frequência,Porcentagem,Contagem
"(5.997, 6.148]",5,0.88339222614841,|||||
"(6.148, 6.297]",29,5.12367491166078,|||||||||||||||||||||||||||||
"(6.297, 6.446]",71,12.5441696113074,|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.446, 6.595]",146,25.7950530035336,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.595, 6.744]",140,24.7349823321555,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.744, 6.894]",80,14.1342756183746,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(6.894, 7.043]",74,13.0742049469965,||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"(7.043, 7.192]",8,1.41342756183746,||||||||
"(7.192, 7.341]",9,1.59010600706714,|||||||||
"(7.341, 7.49]",4,0.706713780918728,||||
