,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - CUBATAO,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO CUBATAO LTDA,"AVENIDA NOVE DE ABRIL, 1845",Centro,RAIZEN,"6,949",04/05/2022
AUTO POSTO MATHIAS LTDA,"AVENIDA JOAQUIM MIGUEL COUTO, 619 0",Vila Couto,IPIRANGA,"6,986",04/05/2022
AUTO POSTO MIRALDO EIRELI,"AVENIDA JOAQUIM MIGUEL COUTO, 1170",Vila Paulista,ALESAT,"6,999",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,978",,,,
DESVIO PADRÃO,"0,026",,,,
VALOR MÍNIMO,"6,949",,,,
VALOR MÁXIMO,"6,999",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
