,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - AMERICANA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
POSTO DE PETROLEO N SRA DE FATIMA LTDA,"AVENIDA N SRA DE FATIMA, 935",N Sra Fatima,BRANCA,"6,399",03/05/2022
AUTO POSTO C T AMERICANA LTDA.,"AVENIDA NOSSA SENHORA DE FATIMA, 3359",Distr. Indl Maria J.c.abrao,IPIRANGA,"6,449",03/05/2022
AUTO POSTO IMBUIA DE AMERICANA LTDA,"AVENIDA DE CILLO, 1691",Cidade Jardim I,IPIRANGA,"6,499",03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,449",,,,
DESVIO PADRÃO,"0,05",,,,
VALOR MÍNIMO,"6,399",,,,
VALOR MÁXIMO,"6,499",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
