,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - AMPARO,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO TUCSON LTDA,"RUA JOAO CANDELARIA, 26",Jardim Sao Dimas,BRANCA,"6,309",05/05/2022
AUTO POSTO GUARIZO LTDA,"AVENIDA BERNARDINO DE CAMPOS, 1380",Centro,RAIZEN,"6,45",05/05/2022
AUTO POSTO PORTAL DAS AGUAS LTDA,"RUA PRINCIPAL MARIA ROSA FEDERICCI, 55",Parque Modelo,VIBRA ENERGIA,"6,45",05/05/2022
GUARIZZO AMPARO LTDA,"AVENIDA BERNARDINO DE CAMPOS, 1340",Centro,RAIZEN,"6,45",05/05/2022
AUTO POSTO PORTAL DAS AGUAS LTDA,"AVENIDA WALDYR BEIRA, 2150",Figueira,RAIZEN,"6,45",05/05/2022
AUTO POSTO PORTAL DAS AGUAS LTDA,"AVENIDA WALDYR BEIRA, 182",Figueira,VIBRA ENERGIA,"6,45",05/05/2022
AUTO POSTO N. SRA. DO AMPARO LTDA,"AVENIDA DOUTOR CARLOS BURGOS, 3300",Centro,IPIRANGA,"6,54",05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,443",,,,
DESVIO PADRÃO,"0,068",,,,
VALOR MÍNIMO,"6,309",,,,
VALOR MÁXIMO,"6,54",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
