,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ARARAQUARA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
CONCORDIA POSTO DE COMBUSTIVEIS E LUBRIFICANTES EIRELI,"AVENIDA LUIZ ALBERTO, 522",Vila Velosa,BRANCA,"6,37",02/05/2022
AUTO POSTO CEAEME LTDA.,"AVENIDA PRESIDENTE VARGAS, 2750",Quitandinha,BRANCA,"6,399",02/05/2022
AUTO POSTO MEDITERRANEO DE ARARAQUARA LTDA.,"AVENIDA ANTONIO DE PADUA CORREA, 374",Centro,RAIZEN,"6,499",02/05/2022
AUTO POSTO RUA 16 LTDA,"RUA CASTRO ALVES, 2.647",Vila Santana,BRANCA,"6,54",02/05/2022
AUTO POSTO ARENA 2 LTDA,"AVENIDA BENTO DE ABREU, 280",Centro,BRANCA,"6,59",02/05/2022
AUTO POSTO DALLAS CENTER LTDA,"AVENIDA MARIA A. C. DE OLIVEIRA, 1869",Centro,ALESAT,"6,649",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,508",,,,
DESVIO PADRÃO,"0,108",,,,
VALOR MÍNIMO,"6,37",,,,
VALOR MÁXIMO,"6,649",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
