,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ASSIS,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
EJ COMERCIO DE COMBUSTIVEIS EIRELI,"AVENIDA ARMANDO SALLES DE OLIVEIRA, 819",Vila Moraes Pinto,BRANCA,"6,499",03/05/2022
AUTO POSTO SAO JOAO DE ASSIS LTDA,"RUA JOSE NOGUEIRA MARMONTEL, 352",Centro,VIBRA ENERGIA,"6,599",03/05/2022
DB POSTO DE SERVICOS E COMBUSTIVEIS LTDA,"RUA JOSE VIEIRA DA CUNHA E SILVA, 1286",Vila Santa Elisa,IPIRANGA,"6,66",03/05/2022
AUTO POSTO G D LTDA,"AVENIDA ABILIO DUARTE DE SOUZA, 1",Jardim Aeroporto,IPIRANGA,"6,66",03/05/2022
REALCE POSTO DE SERVICOS II LTDA.,"AVENIDA DOM ANTONIO, 1290",Vila Tenis Clube,BRANCA,"6,699",03/05/2022
POSTO UNIVERSITARIO DE ASSIS LTDA - ME,"AVENIDA DOM ANTONIO, 999",Vila Rodrigues,VIBRA ENERGIA,"6,849",03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,661",,,,
DESVIO PADRÃO,"0,116",,,,
VALOR MÍNIMO,"6,499",,,,
VALOR MÁXIMO,"6,849",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
