,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ATIBAIA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO ESTRELA DO SULLTDA,"AVENIDA PROFESSOR CARLOS ALBERTO CARVALHO PINTO, 442 0",Centro,BRANCA,"5,96",05/05/2022
AUTO POSTO CANOA LTDA,"AVENIDA PREF. ANTONIO JULIO T. GARCIA LOPES, 1162",Jardim Cerejeiras,BRANCA,"6,09",03/05/2022
LUCAS AUTO POSTO LTDA,"ALAMEDA PROF LUCAS N.GARCES, 3816",Vl Esperia,BRANCA,"6,5",03/05/2022
CENTRO DE SERVICOS FRANGO ASSADO -NORTE LTDA,"ALAMEDA PROFESSOR LUCAS NOGUEIRA GARCEZ, 7650",Jardim Paulista,VIBRA ENERGIA,"6,717",03/05/2022
TEXAS AUTO POSTO LTDA,"AVENIDA CARVALHO PINTO, 460",Alvinópolis,IPIRANGA,"6,857",05/05/2022
AUTO POSTO DONA GERTRUDES LTDA,"AVENIDA DONA GERTRUDES, 915",Alvinopolis,RAIZEN,"6,99",05/05/2022
ARAUJO AUTO POSTO E SERVICOS LTDA,"AVENIDA PROFESSOR FLAVIO PIRES DE CAMARGO, 1025",Caetetuba,VIBRA ENERGIA,"7,03",03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,592",,,,
DESVIO PADRÃO,"0,427",,,,
VALOR MÍNIMO,"5,96",,,,
VALOR MÁXIMO,"7,03",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
