,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - CAMPINAS,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
D. PEDRO PARKING POSTO LTDA,"RODOVIA : DOM PEDRO I, S/N KM 144,5",Jd.aparecida,BRANCA,"5,949",02/05/2022
POSTO GARCIA DE CAMPINAS LTDA,"RODOVIA ANHANGUERA, S/N KM 99",Jardim Eulina,RAIZEN,"5,999",02/05/2022
AUTO POSTO JARDIM SANTA MONICA LTDA,"RUA SYLVIA DA SILVA BRAGA, 890",Jardim Santa Monica,RAIZEN,"6,097",02/05/2022
COMERCIO DE COMBUSTIVEIS PRIMAVERA LTDA,"RUA MIOSOTIS, 10",Chacara Primavera,RAIZEN,"6,199",02/05/2022
AUTO POSTO GLOBAL DE CAMPINAS LTDA,"RUA MARQUES DE VALENÇA, 60 20",Jd. Santa Genebra,IPIRANGA,"6,199",02/05/2022
AUTO POSTO PARQUE INDUSTRIAL LTDA,"RUA PADRE JOSE QUADROS, 351",Prq Industrial,VIBRA ENERGIA,"6,199",02/05/2022
AUTO POSTO CHACARA DO VOVO LTDA,"AVENIDA PADRE GASPAR BERTONI, 20",Jardim do Vovo,BRANCA,"6,199",02/05/2022
POSTO JARDIM DO TREVO LTDA,"AVENIDA BENEDITO DE CAMPOS, 193",Jardim do Trevo,RAIZEN,"6,25",02/05/2022
CENTRO AUTOMOTIVO PINDORAMA LTDA,"AVENIDA PRESIDENTE JUSCELINO, 170",Jardim Ipiranga,RAIZEN,"6,279",02/05/2022
AUTO POSTO CAMPO DOS AMARAIS LTDA,"RUA SYLVIA DA SILVA BRAGA, 120",Jd Sao Marcos,IPIRANGA,"6,299",02/05/2022
POSTO E RESTAURANTE 3 VIAS LTDA,"RODOVIA ANHANGUERA, S/N KM 105",Nova Aparecida,RAIZEN,"6,299",02/05/2022
AUTO POSTO SÃO TOMAZ LTDA,"AVENIDA BADEN POWELL, 718",Jardim Nova Europa,RAIZEN,"6,299",02/05/2022
AUTO POSTO BR CAROLINA FLORENCE LTDA,"RUA CAROLINA FLORENCE, 1.611",Vila Nova,VIBRA ENERGIA,"6,357",02/05/2022
AUTO POSTO PASSARELA LTDA,"RUA MARIO ERBOLATO, 235",Pq Sta Barbara,BRANCA,"6,399",02/05/2022
GIRAFA AUTO POSTO LTDA,"AVENIDA GOV PEDRO DE TOLEDO, 2500",Bonfim,RAIZEN,"6,399",02/05/2022
COM.DE DERIVADOS DE PETROLEO PAULICEIA DE CAMPINAS LTDA,"RUA HAROLDO PARANHOS, 222",Jd Pauliceia,RAIZEN,"6,459",02/05/2022
AUTO POSTO PRECISAO LTDA,"RUA MANOEL CARVALHO PAES DE ANDRADE, 175",Jardim Campos Eliseos,RAIZEN,"6,559",02/05/2022
AUTO POSTO 100 LTDA.,"RUA RANCHARIA, 165",Jardim do Trevo,VIBRA ENERGIA,"6,599",02/05/2022
SAO MARTINHO AUTO SERVICE LTDA,"AVENIDA SAO JOSE DOS CAMPOS, 2500",Loteamento Parque Sao Martinho,IPIRANGA,"6,87",02/05/2022
AUTO POSTO JARDIM BANDEIRANTES LIMITADA,"RUA EDUARDO EDARGE BADARO, 118",Jd Bandeirantes,IPIRANGA,"6,999",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,345",,,,
DESVIO PADRÃO,"0,259",,,,
VALOR MÍNIMO,"5,949",,,,
VALOR MÁXIMO,"6,999",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
