,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - COSMOPOLIS,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
OTONI AUTO POSTO LTDA,"AVENIDA ESTER, 870",Centro,BRANCA,"5,999",05/05/2022
AUTO POSTO GADIAL LTDA,"RUA CAMPINAS, 941",Centro,BRANCA,"6,29",05/05/2022
ADELINO RODRIGUES FILHO,"RUA CAMPINAS, 666",Jardim Bela Vista,BRANCA,"6,679",05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,323",,,,
DESVIO PADRÃO,"0,341",,,,
VALOR MÍNIMO,"5,999",,,,
VALOR MÁXIMO,"6,679",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
