,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - DIADEMA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO RIO DE JANEIRO EIRELI,"AVENIDA ELDORADO (JD RUYCE), 928",Casa Grande,BRANCA,"5,97",04/05/2022
GRAN DIADEMA AUTO POSTO LTDA,"AVENIDA FAGUNDES DE OLIVEIRA, 1808",Vila Santa Rita,BRANCA,"6,09",04/05/2022
D+ BRASIL AUTO POSTO EIRELI,"AVENIDA FAGUNDES DE OLIVEIRA, 935 CORREDOR ABD",Piraporinha,BRANCA,"6,169",04/05/2022
CENTRO AUTOMOTIVO GENEVE EIRELI,"ESTRADA DO RUFINO, 830",Vila Nova Conceicao,BRANCA,"6,22",04/05/2022
PORTAL DOIS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,"AVENIDA CASA GRANDE, 2471",Jardim da Casa,IPIRANGA,"6,26",04/05/2022
AUTO POSTO FAMA LTDA,"AVENIDA FAGUNDES DE OLIVEIRA, 1655",Vila Sao Jose,IPIRANGA,"6,699",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,235",,,,
DESVIO PADRÃO,"0,25",,,,
VALOR MÍNIMO,"5,97",,,,
VALOR MÁXIMO,"6,699",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
