,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - FRANCA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
L. J. COMÉRCIO DE COMBUSTÍVEIS LTDA.,"AVENIDA ORLANDO DOMPIERI, 1980",Jardim Barao,BRANCA,"6,299",03/05/2022
RFL CASTELINHO AUTO POSTO LTDA,"AVENIDA MIGUEL SABIO DE MELLO, 181",Santa Rita,BRANCA,"6,299",03/05/2022
PAINEIRAO POSTO E RESTAURANTE - EIRELI,"RODOVIA CANDIDO PORTINARI, 406 SP 334 KM 406 MAIS",Parque Vicente Leporace I,BRANCA,"6,329",03/05/2022
POSTO MARIO ROBERTO JANJAO LTDA,"AVENIDA DR HELIO PALERMO, 3831",Jardim Maria Gabriela,VIBRA ENERGIA,"6,395",03/05/2022
AUTO POSTO CITY PETROPOLIS LTDA,"AVENIDA RICARTE SOARES SILVA, 1.300",Jardim Marambaia,VIBRA ENERGIA,"6,397",03/05/2022
AUTO POSTO IRMÃOS NASCIMENTO LTDA.,"AVENIDA MARTINHO RIBEIRO, 3381",Jardim Vera Cruz,BRANCA,"6,399",03/05/2022
POSTO PAINEIRAO II LTDA,"RUA BENEDITO MERLINO, 930",Jardim Maria Rosa,IPIRANGA,"6,49",03/05/2022
CITY POSTO DE FRANCA LTDA,"AVENIDA HELIO PALERMO, 2888",Jardim Samello,IPIRANGA,"6,499",03/05/2022
POSTO MIRAMONTES LTDA,"AVENIDA DR. FLÁVIO ROCHA, 5741",Vila Santa Terezinha,BRANCA,"6,499",03/05/2022
JOFER AUTO POSTO LTDA,"AVENIDA DR ISMAEL ALONSO ALONSO, 2231",Centro,IPIRANGA,"6,499",03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,411",,,,
DESVIO PADRÃO,"0,083",,,,
VALOR MÍNIMO,"6,299",,,,
VALOR MÁXIMO,"6,499",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
