,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - GARCA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
ELEFANTINHO AUTO POSTO DE GARCA LTDA,"AVENIDA DR LABIENO DA COSTA MACHADO, 1641",Labienopolis,BRANCA,"6,39",04/05/2022
AUTO POSTO MAJESTIC DE GARCA LTDA,"AVENIDA PRESIDENTE VARGAS, 154",Labienopolis,BRANCA,"6,399",04/05/2022
AUTO POSTO RANELI GARCA LTDA,"RUA BASILIO SELANI, 45",Vila Jose Ribeiro,VIBRA ENERGIA,"6,64",04/05/2022
AUTO POSTO BORGES ALVES & PIZOLIO BORGES LTDA.,"RUA SANTO ANTONIO, 405",Salgueiro,BRANCA,"6,799",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,557",,,,
DESVIO PADRÃO,"0,199",,,,
VALOR MÍNIMO,"6,39",,,,
VALOR MÁXIMO,"6,799",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
