,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - HORTOLANDIA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
COMERCIAL HEMAVI LTDA,"AVENIDA JOSE AUGUSTO DE ARAUJO, 76",Vila Real Santista,BRANCA,"6,099",02/05/2022
AUTO POSTO CAMPINAS MONTE MOR LTDA,"RUA MARG A EST. MUNICIPAL, S/N KM 7",Jd Sta Izabel,IPIRANGA,"6,189",02/05/2022
JONELLUS AUTO POSTO LTDA.,"RUA ANTONIO FERNANDES LEITE, 756",Nucleo Santa Izabel,BRANCA,"6,199",02/05/2022
POSTO ABBA LTDA,"AVENIDA JOAO COELHO, 305",Chacara Fazenda Coelho,BRANCA,"6,199",02/05/2022
AUTO POSTO BOAZ LTDA.,"RUA ANTONIO FERNANDES LEITE, 20",Jardim Santa Isabel,BRANCA,"6,199",02/05/2022
AUTO POSTO CHACARAS DO COELHO LTDA,"AVENIDA JOAO COELHO, 32",Chac. Faz. do Coelho,RAIZEN,"6,499",02/05/2022
COMERCIAL APOLLO LTDA,"RUA DOS ESTUDANTES, 41",Jardim Santa Rita,VIBRA ENERGIA,"6,599",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,283",,,,
DESVIO PADRÃO,"0,187",,,,
VALOR MÍNIMO,"6,099",,,,
VALOR MÁXIMO,"6,599",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
