,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITAPETININGA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO SIQUELERO DE ITAPETININGA LTDA,"RODOVIA RAPOSO TAVARES, S/N 81 GI-C",Chapada Grande,RAIZEN,"6,2",05/05/2022
AUTO POSTO APARECIDA DE ITAPETININGA LTDA,"RUA JOSE DE ALMEIDA CARVALHO, 248",Centro,VIBRA ENERGIA,"6,779",04/05/2022
AUTO POSTO SARUTAYA LTDA,"RUA SALVADOR DE OLIVEIRA LEME, 80",Centro,VIBRA ENERGIA,"6,959",05/05/2022
AUTO POSTO BR 65 LTDA,"RUA ANTONIO FOGAÇA DE ALMEIDA, 498",Centro,VIBRA ENERGIA,"6,99",04/05/2022
AUTO POSTO BR 64 LTDA,"RUA QUINTINO BOCAIUVA, 64",Centro,VIBRA ENERGIA,"6,999",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,785",,,,
DESVIO PADRÃO,"0,339",,,,
VALOR MÍNIMO,"6,2",,,,
VALOR MÁXIMO,"6,999",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
