,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITAPIRA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO PANORAMA DE ITAPIRA LTDA.,"AVENIDA DOS ITALIANOS, 2300",Prados,IPIRANGA,"6,399",05/05/2022
AUTO POSTO LUBEMA LTDA,"AVENIDA COMENDADOR VIRGOLINO DE OLIVEIRA, 326",Vila Izaura,BRANCA,"6,64",05/05/2022
AUTO POSTO J N DE ITAPIRA LTDA - ME,"RUA DR FRCO DE P M BARBOSA, 680",Centro,BRANCA,"6,67",05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,57",,,,
DESVIO PADRÃO,"0,149",,,,
VALOR MÍNIMO,"6,399",,,,
VALOR MÁXIMO,"6,67",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
