,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITAPOLIS,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 08/05/2022 a 14/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO PORTAL DE ITÁPOLIS LTDA,"RUA ISMAEL NERY PALHARES, 30",Centro,BRANCA,6650,09/05/2022
MATHEUS GALLO,"AVENIDA FRANCISCO PORTO, 717",Centro,BRANCA,6650,09/05/2022
AROEIRA AUTO POSTO EIRELI,"AVENIDA FREI PAULO LUIG, 861",Centro,BRANCA,6680,09/05/2022
"MALOSSO, VELLUDO & CIA LTDA.","AVENIDA FRANCISCO PORTO, 154",Centro,VIBRA ENERGIA,6690,09/05/2022
AUTO POSTO OROESTE DE ITAPOLIS LTDA - EPP,"AVENIDA ORESTE DA COSTA SENE JUNIOR, 193",Jardim Redencao,BRANCA,6790,09/05/2022
AUTO POSTO E CONVENIENCIA BHX LTDA,"RUA JOSE ROSSI, 685",Centro,BRANCA,6790,09/05/2022
AUTO POSTO JPS DE ITAPOLIS LTDA - EPP,"AVENIDA JOSE DE BARROS RIBEIRO, 1.620",Centro,BRANCA,6790,09/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6720,,,,
DESVIO PADRÃO,67,,,,
VALOR MÍNIMO,6650,,,,
VALOR MÁXIMO,6790,,,,
,,,,,
Data de Emissão : 17/05/2022,,,,,
