,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITAQUAQUECETUBA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO ARACARE LTDA,"AVENIDA ITALO ADAMI, 85",Aracare,BRANCA,"6,099",04/05/2022
AUTO POSTO AG LTDA,"ESTRADA DE SANTA ISABEL, 2394",Centro,BRANCA,"6,499",04/05/2022
AUTO POSTO VISAO LTDA,"ESTRADA SAO PAULO MOGI, 1978",Jardim Luciana,IPIRANGA,"6,579",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,392",,,,
DESVIO PADRÃO,"0,257",,,,
VALOR MÍNIMO,"6,099",,,,
VALOR MÁXIMO,"6,579",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
