,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - JOSE BONIFACIO,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO TAKÁO LTDA.,"RODOVIA BR 153, S/N KM 99",Zona Rural,BRANCA,"6,19",02/05/2022
AUTO POSTO TAKAO JOSE BONIFACIO LTDA,"RODOVIA SP 425 - ASSIS CHATEAUBRIAND, S/N KM 232+206 METROS",Zona Rural,BRANCA,"6,199",02/05/2022
RODANTE & RODANTE LTDA,"RUA 21 DE ABRIL, 376",Centro,BRANCA,"6,249",02/05/2022
AUTO POSTO TMJ - JOSE BONIFACIO LTDA.,"AVENIDA JOAQUIM MOREIRA DA SILVA, 2875",Jardim Panorama,BRANCA,"6,39",02/05/2022
AUTO POSTO CERRADAO J B LTDA,"AVENIDA JOSE ANTONIO PINTO, 842 TERREO",Vila Saudade,BRANCA,"6,42",02/05/2022
AUTO POSTO EDUARDO LIMITADA,"AVENIDA 9 DE JULHO, 284",-,RAIZEN,"6,599",02/05/2022
AUTO POSTO JOSE BONIFACIO LIMITADA,"AVENIDA JOAQUIM M. DA SILVA, 2507",Sao Jose,VIBRA ENERGIA,"6,629",02/05/2022
AUTO POSTO SÃO JOSÉ JB LTDA,"RUA SANTOS DUMONT, 225",São José,IPIRANGA,"6,65",02/05/2022
AUTO POSTO CENTRAL J.B.LTDA,"AVENIDA 9 DE JULHO, 971",Centro,IPIRANGA,"6,65",02/05/2022
FERED ARABE & CIA LTDA,"AVENIDA ANTONIO GONCALVES DA SILVA, 425",Centro,BRANCA,"6,8",02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,478",,,,
DESVIO PADRÃO,"0,217",,,,
VALOR MÍNIMO,"6,19",,,,
VALOR MÁXIMO,"6,8",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
