,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - JUNDIAI,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
WF JUNDIAI - COMERCIO E SERVICOS AUTOMOTIVOS LTDA,"RUA BRASIL, 2272",Vila Rami,BRANCA,"6,299",04/05/2022
AUTO POSTO RETIRO LTDA,"RUA DO RETIRO, 2905",Retiro,RAIZEN,"6,45",04/05/2022
RA COMERCIO DE COMBUSTIVEIS E DERIVADOS LTDA,"RUA AUGUSTO SACCOMANI, 33",Jardim Torres de Sao Jose,IPIRANGA,"6,499",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,416",,,,
DESVIO PADRÃO,"0,104",,,,
VALOR MÍNIMO,"6,299",,,,
VALOR MÁXIMO,"6,499",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
