,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MATAO,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO JOAO PEDRO MATAO EIRELI,"RUA SAO LOURENCO, 45",Centro,BRANCA,"6,29",05/05/2022
POSTO DE SERVICOS PEIXOTO EIRELI,"AVENIDA SAO PAULO, 433",Jardim do Bosque,BRANCA,"6,39",05/05/2022
AUTO POSTO INÁCIO & BROIO LTDA.,"AVENIDA LAERT JOSE TARALLO MENDES, 1449",Vila Pereira,BRANCA,"6,4",05/05/2022
POSTO DE SERVICO PEIXOTO III LTDA,"AVENIDA BALDAN, 3410",Park Imperador,BRANCA,"6,69",05/05/2022
AUTO POSTO 15 DE NOVEMBRO DE MATAO LTDA.,"AVENIDA 15 DE NOVEMBRO, 1843",Bairro Alto,BRANCA,"6,75",05/05/2022
AUTO POSTO PRIMAVERA LTDA,"AVENIDA SIQUEIRA CAMPOS, 410",Centro,IPIRANGA,"6,799",05/05/2022
AUTO POSTO JOAO PEDRO EIRELI,"AVENIDA PINDORAMA, 514",Jardim Buscardi,BRANCA,"6,8",05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,588",,,,
DESVIO PADRÃO,"0,22",,,,
VALOR MÍNIMO,"6,29",,,,
VALOR MÁXIMO,"6,8",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
