,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MAUA,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO PAPAI DE MAUA LTDA,"AVENIDA BARAO DE MAUA, 2711",Jd Maua,RAIZEN,"6,47",04/05/2022
CENTRO AUTOMOTIVO BAP BARAO LTDA,"AVENIDA BARAO DE MAUA, 2990",Jardim Maringa,RAIZEN,"6,479",04/05/2022
MIRAGE COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA ANTONIA ROSA FIORAVANTI, 1020",Jardim Rosina,RAIZEN,"6,49",04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,48",,,,
DESVIO PADRÃO,"0,01",,,,
VALOR MÍNIMO,"6,47",,,,
VALOR MÁXIMO,"6,49",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
