,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MOGI DAS CRUZES,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO IMIGRANTE LTDA,"AVENIDA FERNANDO COSTA, 30",Centro,VIBRA ENERGIA,"6,279",03/05/2022
POSTO DE SERVICOS LIBERTY LTDA,"AVENIDA PREFEITO FRANCISCO RIBEIRO NOGUEIRA, 4411",Mogi Moderno,VIBRA ENERGIA,"6,549",03/05/2022
AUTO POSTO VIPAM LTDA,"RUA IPIRANGA, 1369",Centro,IPIRANGA,"6,59",03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,473",,,,
DESVIO PADRÃO,"0,169",,,,
VALOR MÍNIMO,"6,279",,,,
VALOR MÁXIMO,"6,59",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
