,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - MOGI GUACU,,,,,
Resumo I - OLEO DIESEL R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO GUACU BRASIL LTDA,"AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES, 1925",Jardim Nossa Senhora das Gracas,BRANCA,"6,39",05/05/2022
HELP AUTO POSTO LTDA.,"AVENIDA PREF LUIZ G.A.CAMPOS, 13",Centro,BRANCA,"6,59",05/05/2022
AUTO POSTO NIGÉRIA LTDA,"AVENIDA EMILIA MARCHI MARTINI, 1826",Chacara Nova Odessa,VIBRA ENERGIA,"6,659",05/05/2022
AUTO POSTO VILA PARAISO LTDA,"AVENIDA TRABALHADORES, 400",Vila Paraiso,ALESAT,"6,797",05/05/2022
AUTO POSTO NOVA CANAA LTDA,"AVENIDA WALDOMIRO GARCIA DE OLIVEIRA, 35",Parque Residencial Nova Canaa,BRANCA,"6,89",05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,"6,665",,,,
DESVIO PADRÃO,"0,193",,,,
VALOR MÍNIMO,"6,39",,,,
VALOR MÁXIMO,"6,89",,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
