,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ADAMANTINA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO PROGRESSO DE ADAMANTINA LTDA,"AVENIDA RIO BRANCO, 764",Centro,BRANCA,6590,05/05/2022
MAVESA MATUOKA VEICULOS LTDA,"AVENIDA RIO BRANCO, 600",Centro,IPIRANGA,6790,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6690,,,,
DESVIO PADRÃO,141,,,,
VALOR MÍNIMO,6590,,,,
VALOR MÁXIMO,6790,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
