,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - AMERICANA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO REDE JET P4 LTDA,"AVENIDA PREFEITO ABDO NAJAR, 35",Jardim Marcia Cristina,BRANCA,6399,03/05/2022
AUTO POSTO C T AMERICANA LTDA.,"AVENIDA NOSSA SENHORA DE FATIMA, 3359",Distr. Indl Maria J.c.abrao,IPIRANGA,6549,03/05/2022
AUTO POSTO NPD LTDA,"AVENIDA NOSSA SENHORA DE FATIMA, 3264",Fazenda Machadinho,BRANCA,6549,03/05/2022
ALABAMMA COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,"RUA ORLANDO DEI SANTI, 70",Campo Limpo,RAIZEN,6550,03/05/2022
AUTO POSTO PASCHOAL ARDITO LTDA,"AVENIDA PASCHOAL ARDITO, 1046",Franciscangelis,IPIRANGA,6590,03/05/2022
POSTO DE SERVICOS NOVA CARIOBA LTDA,"RUA SAO SIMAO, 135",Cariobinha,IPIRANGA,6590,03/05/2022
AUTO POSTO IMBUIA DE AMERICANA LTDA,"AVENIDA DE CILLO, 1691",Cidade Jardim I,IPIRANGA,6599,03/05/2022
AUTO POSTO JARDIM DAS FLORES LTDA,"RUA DAS DALIAS, 145",Cidade Jardim Ii,BRANCA,6599,03/05/2022
POSTO DE PETROLEO N SRA DE FATIMA LTDA,"AVENIDA N SRA DE FATIMA, 935",N Sra Fatima,BRANCA,6649,03/05/2022
G.ARDITO & CIA.LTDA.,"RUA SAO GABRIEL, 1195",Sao Vito,IPIRANGA,6690,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6576,,,,
DESVIO PADRÃO,77,,,,
VALOR MÍNIMO,6399,,,,
VALOR MÁXIMO,6690,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
