,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - AMPARO,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO PORTAL DAS AGUAS LTDA,"AVENIDA WALDYR BEIRA, 2150",Figueira,RAIZEN,6550,05/05/2022
AUTO POSTO PORTAL DAS AGUAS LTDA,"AVENIDA WALDYR BEIRA, 182",Figueira,VIBRA ENERGIA,6550,05/05/2022
GUARIZZO AMPARO LTDA,"AVENIDA BERNARDINO DE CAMPOS, 1340",Centro,RAIZEN,6550,05/05/2022
AUTO POSTO PORTAL DAS AGUAS LTDA,"RUA PRINCIPAL MARIA ROSA FEDERICCI, 55",Parque Modelo,VIBRA ENERGIA,6550,05/05/2022
AUTO POSTO GUARIZO LTDA,"AVENIDA BERNARDINO DE CAMPOS, 1380",Centro,RAIZEN,6550,05/05/2022
AUTO POSTO N. SRA. DO AMPARO LTDA,"AVENIDA DOUTOR CARLOS BURGOS, 3300",Centro,IPIRANGA,6590,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6557,,,,
DESVIO PADRÃO,16,,,,
VALOR MÍNIMO,6550,,,,
VALOR MÁXIMO,6590,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
