,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ARACATUBA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
DALLAS CENTRO DE ABASTECIMENTO DE COMBUSTIVEIS LTDA,"RUA CUSSY DE ALMEIDA JUNIOR, 2350",Vila Carvalho,VIBRA ENERGIA,6520,04/05/2022
POSTO CANAL 1 ARAÇATUBA LTDA,"RUA BRASIL, 486",Centro,IPIRANGA,6599,04/05/2022
ALBINO & GUARNIERI LTDA,"AVENIDA BRASILIA, 1358",Vila Santa Maria,IPIRANGA,6599,05/05/2022
AUTO POSTO COLINA ARAÇATUBA LTDA,"AVENIDA DA SAUDADE, 1334",Saudade,RAIZEN,6640,05/05/2022
POSTO PANTERA EIRELI,"AVENIDA LUIZ PEREIRA BARRETO, 352",Centro,BRANCA,6690,05/05/2022
AUTO POSTO SHOPPING AGUAPEI LTDA,"VIA DE ACESSO JOAO CAZERTA (ATE 2399 E RUA AGUAPEI), 2656",Guanabara,VIBRA ENERGIA,6699,04/05/2022
AMERICA CENTRO DE ABASTECIMENTO DE COMBUSTIVEIS LTDA,"RUA EDGAR JARDIM BASTOS, 48",Jardim Nova Iorque,IPIRANGA,6700,05/05/2022
SANCHES WEILER COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA WALDIR FELIZOLA DE MORAES, 1200",Jardim Paulista,VIBRA ENERGIA,6790,05/05/2022
AUTO POSTO RONDON JUSSARA LTDA,"RUA MARCOS TOQUETAO, 768",Jussara,VIBRA ENERGIA,6790,05/05/2022
AUTO POSTO AMIZADE ARAÇATUBA LTDA.,"AVENIDA LUIS PEREIRA BARRETO, 826",Centro,IPIRANGA,6799,05/05/2022
JULIO CASTILHO COMBUSTIVEIS E CONSTRUCOES EIRELI,"RUA AGUAPEI, 100",Centro,VIBRA ENERGIA,6899,04/05/2022
AUTO POSTO BREMEN ARACATUBA LTDA,"AVENIDA ODORINDO PERENHA, 976",Jd Umuarama,BRANCA,6899,05/05/2022
AUTO POSTO MANHATTAM DE ARACATUBA LTDA,"AVENIDA BRASILIA, 2.148",Jd. Nova York,RAIZEN,6899,05/05/2022
POSTO UNI ICARAY LTDA,"AVENIDA JOAQUIM POMPEU DE TOLEDO, 1631",Icaray,IPIRANGA,6990,05/05/2022
UNI AUTO POSTO DE ARACATUBA LTDA,"AVENIDA JOAQUIM POMPEU DE TOLEDO, 25",Parque Baguacu,IPIRANGA,6990,05/05/2022
W. DEMO DE MORAES COMBUSTÍVEIS LTDA.,"RUA QUINZE DE NOVEMBRO, 236",Centro,BRANCA,6999,05/05/2022
A ROTATORIA POSTO E CONVENIENCIA LTDA,"AVENIDA BRASILIA, 1712 L",Vila Sao Paulo,BRANCA,7390,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6817,,,,
DESVIO PADRÃO,209,,,,
VALOR MÍNIMO,6520,,,,
VALOR MÁXIMO,7390,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
