,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ARARAS,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO CONFIANTE LTDA,"AVENIDA DONA RENATA, 5700",Jd Candida,RAIZEN,6299,02/05/2022
COMERCIO DE COMBUSTIVEIS PETRO TERRA LTDA,"AVENIDA LORETO, 1171",Jd Sta Marta,BRANCA,6499,02/05/2022
AUTO POSTO PETRO TERRA LTDA,"AVENIDA MELVIN JONES, 1711",Jardim Buzolin,BRANCA,6499,02/05/2022
AUTO POSTO J P ARARAS LTDA,"AVENIDA DONA RENATA, 1167",Jd Santa Rosa,VIBRA ENERGIA,6585,02/05/2022
LAVAJATO AQUARIUS LTDA,"AVENIDA PADRE ALARICO ESQ.COM MARGINAL RIB.DAS FURNAS, 70",Belvedere,VIBRA ENERGIA,6597,02/05/2022
POSTO DE SERVICO NOVA ARARAS LTDA,"AVENIDA MELVIN JONES, 1120",Jardim Santo Andre,RAIZEN,6599,02/05/2022
AUTO POSTO E.J. DE ARARAS EIRELI,"AVENIDA ANGELO FRANZINI, 155",Residencial Bosque de Versalles,RAIZEN,6599,02/05/2022
AUTO POSTO NOVA ARARAS LTDA,"AVENIDA HORACIO KREPISCHI, 550",Matadouro,VIBRA ENERGIA,6599,02/05/2022
SOTTA ARARAS POSTO DE COMBUSTIVEIS LTDA,"AVENIDA ZURITA, 377",Jardim Belvedere,IPIRANGA,6799,02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6564,,,,
DESVIO PADRÃO,132,,,,
VALOR MÍNIMO,6299,,,,
VALOR MÁXIMO,6799,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
