,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ASSIS,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
CASA AVENIDA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA DOM ANTONIO, 1620",Vila Tenis Clube,BRANCA,6590,03/05/2022
ECOL-COMERCIAL DE PETROLEO LTDA,"AVENIDA RUI BARBOSA, 1793",Jardim Paulista,IPIRANGA,6599,03/05/2022
AUTO POSTO SANTA CECILIA DE ASSIS LTDA,"AVENIDA DOM ANTONIO, 560",Vila Santa Cecilia,VIBRA ENERGIA,6599,03/05/2022
AUTO POSTO PARK BURACAO DE ASSIS LTDA,"RUA ANDRE PERINI, 160 ESQUINA COM A RUA ANTONIO ZUARD",Vila Central,RAIZEN,6599,03/05/2022
AUTO POSTO ROTATORIA SAO FRANCISCO LTDA,"AVENIDA RUI BARBOSA, 2065",Jardim Paulista,RAIZEN,6599,03/05/2022
SSJT SERVICO DE AUTO POSTO LTDA,"RUA MARECHAL RONDON, 113",Vila Brasileira,BRANCA,6599,03/05/2022
EJ COMERCIO DE COMBUSTIVEIS EIRELI,"AVENIDA ARMANDO SALLES DE OLIVEIRA, 819",Vila Moraes Pinto,BRANCA,6599,03/05/2022
DB POSTO DE SERVICOS E COMBUSTIVEIS LTDA,"RUA JOSE VIEIRA DA CUNHA E SILVA, 1286",Vila Santa Elisa,IPIRANGA,6700,03/05/2022
AUTO POSTO G D LTDA,"AVENIDA ABILIO DUARTE DE SOUZA, 1",Jardim Aeroporto,IPIRANGA,6700,03/05/2022
AUTO POSTO ESTRELA DE ASSIS LTDA,"RUA JOSE VIEIRA DA CUNHA E SILVA, 577",Centro,BRANCA,6770,03/05/2022
AUTO POSTO SAO JOAO DE ASSIS LTDA,"RUA JOSE NOGUEIRA MARMONTEL, 352",Centro,VIBRA ENERGIA,6799,03/05/2022
PC LIMA COMERCIO DE COMBUSTIVEL EIRELI,"AVENIDA VEREADOR DAVID PASSARINHO, 601",Vila Souza,IPIRANGA,6799,03/05/2022
AUTO POSTO FREITAS DE ASSIS LTDA,"RUA VEREADOR DAVID PASSARINHO, 820",Vila Souza,VIBRA ENERGIA,6799,03/05/2022
REALCE POSTO DE SERVICOS II LTDA.,"AVENIDA DOM ANTONIO, 1290",Vila Tenis Clube,BRANCA,6899,03/05/2022
POSTO UNIVERSITARIO DE ASSIS LTDA - ME,"AVENIDA DOM ANTONIO, 999",Vila Rodrigues,VIBRA ENERGIA,6999,03/05/2022
AUTO POSTO SAO MATHEUS DE ASSIS LTDA.,"AVENIDA RUI BARBOSA, 1460",Centro,BRANCA,6999,03/05/2022
AUTO POSTO QUALITY DE ASSIS LTDA,"RUA ANDRE PERINE, 17",Vila Operaria,BRANCA,7090,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6749,,,,
DESVIO PADRÃO,165,,,,
VALOR MÍNIMO,6590,,,,
VALOR MÁXIMO,7090,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
