,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ATIBAIA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO CANOA LTDA,"AVENIDA PREF. ANTONIO JULIO T. GARCIA LOPES, 1162",Jardim Cerejeiras,BRANCA,6190,03/05/2022
AUTO POSTO SYGNUS ATIBAIA LTDA,"ALAMEDA PROFESSOR LUCAS NOGUEIRA GARCEZ, 2755",Itapetinga,BRANCA,6500,03/05/2022
SERV POSTO PERFIL LTDA,"AVENIDA CARLOS ALBERTO DE CARVALHO PINTO, 753",Alvinopolis,BRANCA,6670,03/05/2022
AUTO POSTO MAJOR DE ATIBAIA LTDA,"AVENIDA MAJOR JUVENAL ALVIM, 348",Centro,IPIRANGA,6699,03/05/2022
AUTO POSTO JARDIM ALVINOPOLIS LTDA,"AVENIDA BRIGADEIRO JOSE VICENTE DE FARIA LIMA, 1705",Atibaia Jardim,ALESAT,6790,05/05/2022
CEREJEIRAS- COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,"AVENIDA PREFEITO ANTONIO JULIO DE TOLEDO GARCIA LOPES, 1623",Jd das Cerejeiras,VIBRA ENERGIA,6800,03/05/2022
CENTRO DE SERVICOS FRANGO ASSADO -NORTE LTDA,"ALAMEDA PROFESSOR LUCAS NOGUEIRA GARCEZ, 7650",Jardim Paulista,VIBRA ENERGIA,6817,03/05/2022
TEXAS AUTO POSTO LTDA,"AVENIDA CARVALHO PINTO, 460",Alvinópolis,IPIRANGA,6897,05/05/2022
AUTO POSTO BOULEVARD PAULISTA LTDA.,"ALAMEDA LUCAS NOGUEIRA GARCEZ, 3270",Jardim Paulista,VIBRA ENERGIA,6990,03/05/2022
AUTO POSTO IPIATI LTDA.,"ALAMEDA LUCAS NOGUEIRA GARCES, 4510 0",Vila Olga,IPIRANGA,6999,03/05/2022
ARAUJO AUTO POSTO E SERVICOS LTDA,"AVENIDA PROFESSOR FLAVIO PIRES DE CAMARGO, 1025",Caetetuba,VIBRA ENERGIA,7230,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6780,,,,
DESVIO PADRÃO,275,,,,
VALOR MÍNIMO,6190,,,,
VALOR MÁXIMO,7230,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
