,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - AVARE,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO PANEMAO LTDA,"AVENIDA PARANAPANEMA, 821",Jardim Rino e Rino,BRANCA,6600,05/05/2022
AUTO POSTO HELSID LTDA,"RUA MINAS GERAIS, 563",Cidade,BRANCA,6659,05/05/2022
AUTO POSTO BIZUNGA LTDA,"RUA MINAS GERAIS, 797",Centro,IPIRANGA,6750,05/05/2022
AUTO POSTO AVAREZINHO LTDA,"AVENIDA PREFEITO PAULO NOVAES, 1074",Centro,BRANCA,6770,05/05/2022
SILVEIRA & DUARTE AVARÉ LTDA,"AVENIDA PINHEIRO MACHADO, 777",Jardim São Paulo,BRANCA,6790,05/05/2022
AUTO POSTO AVENIDA DE AVARE LTDA,"AVENIDA PREFEITO PAULO NOVAES, 65",Centro,RAIZEN,6799,05/05/2022
AUTO POSTO BIZUNGA LTDA,"AVENIDA JOSELYR MOURA BASTOS, 51",Jardim Paineiras,IPIRANGA,6860,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6747,,,,
DESVIO PADRÃO,89,,,,
VALOR MÍNIMO,6600,,,,
VALOR MÁXIMO,6860,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
