,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - BARRETOS,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
LEONCIO & FILHOS LTDA,"AVENIDA 27, 1285",Centro,BRANCA,6350,04/05/2022
PSJ BARRETOS COMERCIO DE COMBUSTIVEIS LTDA,"RODOVIA BRIGADEIRO FARIA LIMA, S/N KM 425 500 MTS",Sao Francisco,BRANCA,6390,04/05/2022
AUTO POSTO VILA BARONI LTDA,"RUA 32, 609",Baroni,BRANCA,6499,04/05/2022
P. DANTAS COMERCIO DE COMBUSTIVEIS - EIRELI,"RUA 18 (NUMERACAO COM ZERO A ESQUERDA), 1294 ESQ. COM AVENIDA 7",Jockey Club,BRANCA,6599,04/05/2022
AUTO POSTO BARREGAS EIRELI - EPP,"RUA 18, 1623",Ortega,VIBRA ENERGIA,6685,04/05/2022
SALVIANO DE OLIVEIRA & CIA LTDA,"RUA TRINTA E DOIS, 876",Centro,IPIRANGA,6790,04/05/2022
NATAL KIFOURI & CIA LTDA,"PRACA SAO BENEDITO, 83",Sao Benedito,IPIRANGA,6890,04/05/2022
AUTO POSTO SAO DOMINGOS DE BARRETOS LTDA.,"AVENIDA LOS ANGELES, 534",Los Angeles,VIBRA ENERGIA,6930,04/05/2022
GARCIA & GARCIA AUTO POSTO LIMITADA,"AVENIDA RIO DALVA, 136",Los Angeles,RAIZEN,6990,04/05/2022
AUTO POSTO JOIRIS LTDA,"AVENIDA 43, 658",Jardim Alvorada,BRANCA,6990,04/05/2022
AUTO POSTO BARRETOS LTDA,"AVENIDA 43, 110",Centro,BRANCA,6990,03/05/2022
MARZOLA & FELTRIN COMERCIO DE COMBUSTIVEIS LTDA.,"AVENIDA JOSE BAMPA, 1.250 LOJAS 1-1246,2 - 1242, 3-1238, 4- 123",Jardim Estancia,VIBRA ENERGIA,7150,04/05/2022
AUTO POSTO BERRANTAO BARRETOS LTDA,"AVENIDA PROFESSOR ROBERTO FRADE MONTE, 2049",America,RAIZEN,7199,04/05/2022
AUTO POSTO CITY BARRETOS LTDA,"AVENIDA IBIRAPUERA, 05",City Barretos,VIBRA ENERGIA,7199,04/05/2022
CELSO GARCIA BARRETOS,"RUA 24, 1602",Centro,IPIRANGA,7299,04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6863,,,,
DESVIO PADRÃO,302,,,,
VALOR MÍNIMO,6350,,,,
VALOR MÁXIMO,7299,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
