,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - BARUERI,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
ROTONDO AUTO POSTO LTDA.,"ALAMEDA ARAGUAIA, 2800",Centro Empresarial,IPIRANGA,6499,05/05/2022
AUTOPOSTO MACKENZIE LTDA,"AVENIDA TUCUNARE, 1498",Tambore,RAIZEN,6540,05/05/2022
AUTO POSTO ANA CAROLINA III LTDA.,"AVENIDA MARGINAL ESQUERDA, 613",Nova Aldeinha,RAIZEN,6549,05/05/2022
LUMMAR COMBUSTIVEIS TAMBORE LTDA,"RUA JUSSARA, 1880",Jardim Santa Cecilia,IPIRANGA,6599,05/05/2022
POSTO DE SERVICO LUA NOVA LTDA,"AVENIDA ARUANA, 887",Tambore,BRANCA,6690,05/05/2022
POSTO PALACE ARAGUAIA LTDA,"ALAMEDA ARAGUAIA, 300",Alphaville Industrial,BRANCA,6770,05/05/2022
BETHAVILLE AUTO POSTO LTDA.,"AVENIDA MARGINAL PROJETADA, 755",Bethaville,VIBRA ENERGIA,6799,05/05/2022
AUTO POSTO VILA VERDE LTDA,"AVENIDA VINTE E SEIS DE MARCO, 697",Centro,VIBRA ENERGIA,6799,05/05/2022
COMLUBRI AUTO POSTO LTDA.,"ALAMEDA ARAGUACEMA, 24 CENTRO EMPRES.TAMBORE",Barueri,ALESAT,6890,05/05/2022
ALPHA CENTER SERVIÇOS AUTOMOTIVOS LTDA,"ALAMEDA ARAGUAIA, 60",Alphaville,IPIRANGA,6899,05/05/2022
POSTO DE SERVICOS RIMACRIS LTDA,"ALAMEDA ARAGUAIA, 3207",Centro Empresarial Tambore,RAIZEN,6990,05/05/2022
POSTO DE SERVICOS DUQUE ALPHAVILLE LTDA,"ALAMEDA RIO NEGRO, 600",Alphaville,VIBRA ENERGIA,6990,05/05/2022
FGN COMERCIAL LTDA,"ALAMEDA RIO NEGRO, 1139",Alphaville,VIBRA ENERGIA,7190,05/05/2022
RIO NEGRO DERIVADOS DE PETROLEO LTDA,"ALAMEDA RIO NEGRO, 229",Alphaville,VIBRA ENERGIA,7190,05/05/2022
CENTRO AUTOMOTIVO ALPHA ZERO LTDA,"ALAMEDA ARAGUAIA, 1645",Alphaville,VIBRA ENERGIA,7290,05/05/2022
CENTRO AUTOMOTIVO ALPHA CENTER LTDA,"ALAMEDA RIO NEGRO, 350",Alphaville,VIBRA ENERGIA,7290,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6873,,,,
DESVIO PADRÃO,266,,,,
VALOR MÍNIMO,6499,,,,
VALOR MÁXIMO,7290,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
