,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - BAURU,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
POSTO ESTACAO COMERCIO E DERIVADOS DE PETROLEO EIRELI,"AVENIDA RODRIGUES ALVES QUADRA, 2-12",Centro,BRANCA,6290,03/05/2022
AUTO POSTO GUARATIBA LTDA,"AVENIDA RODRIGUES ALVES, 11-65",Centro,IPIRANGA,6450,04/05/2022
AUTO POSTO SAO MATHEUS BAURU LTDA,"RUA PROF. AYRTON BUSCH, 3-23",Pq. Jaragua,VIBRA ENERGIA,6479,03/05/2022
CENTRO AUTOMOTIVO ELEFANTINHO LTDA,"AVENIDA RODRIGUES ALVES QUADRA, 19-070",Vila Cardia,VIBRA ENERGIA,6499,03/05/2022
POSTO CASTELAO BAURU LTDA,"AVENIDA CASTELO BRANCO, 16-27",Jardim Terra Branca,RAIZEN,6589,04/05/2022
OSTI COMÉRCIO DE COMBUSTÍVEIS LTDA.,"AVENIDA COMENDADOR JOSÉ DA SILVA MARTHA, 28-30",Jardim Shangri-la,BRANCA,6590,04/05/2022
POSTO NOSSA SENHORA DE FATIMA BAURU LTDA,"RUA BERNARDINO DE CAMPOS, 7-77",Vila Falcao,BRANCA,6590,04/05/2022
GRAMINHA COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA RODRIGUES ALVES, 22-56",Vl Cardia,BRANCA,6599,03/05/2022
E. A. TUSCHI COMBUSTIVEIS,"AVENIDA COMENDADOR JOSÉ DA SILVA MARTHA, 13-21",Vila Samaritana,BRANCA,6690,04/05/2022
REDE LK DE POSTOS LTDA,"RUA EZEQUIEL RAMOS, 1-20",Centro,RAIZEN,6699,03/05/2022
REDE LK DE POSTOS LTDA,"RU A PRIMEIRO DE MAIO, 13-13",Parque Bela Vista,RAIZEN,6699,03/05/2022
AUTO POSTO BARBARA LTDA,"RUA ARAUJO LEITE, 6-85",Centro,BRANCA,6699,04/05/2022
AUTO POSTO SABIA BAURU LTDA,"AVENIDA CASTELO BRANCO, 33-26",Jd Ouroverde,BRANCA,6699,04/05/2022
AUTO POSTO PRACA PORTUGAL LTDA.,"RUA RUBENS PAGANI, 4-70",Vila Samaritana,BRANCA,6750,04/05/2022
E. A. TUSCHI COMBUSTIVEIS,"RUA GUSTAVO MACIEL, 25-85",Vila America,RAIZEN,6750,04/05/2022
PANDORA AUTOPOSTO LTDA.,"AVENIDA NACOES UNIDAS QUADRA, 14-20",Vila Santo Antonio,VIBRA ENERGIA,6799,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6617,,,,
DESVIO PADRÃO,134,,,,
VALOR MÍNIMO,6290,,,,
VALOR MÁXIMO,6799,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
