,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - CAMPINAS,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
D. PEDRO PARKING POSTO LTDA,"RODOVIA : DOM PEDRO I, S/N KM 144,5",Jd.aparecida,BRANCA,5999,02/05/2022
AUTO POSTO GLOBAL DE CAMPINAS LTDA,"RUA MARQUES DE VALENÇA, 60 20",Jd. Santa Genebra,IPIRANGA,6299,02/05/2022
CARREFOUR COMERCIO E INDUSTRIA LTDA,"AVENIDA RODOVIA DOM PEDRO I, KM 127/128, S/N SETOR I",Fazenda Santana,IPIRANGA,6349,02/05/2022
ALMEIDA & L. OLIVEIRA COMERCIO DE COMBUSTIVEIS LTDA.,"AVENIDA JOHN BOYD DUNLOP, 460",Chac.da Republica,RAIZEN,6377,02/05/2022
AUTO POSTO POIARES LTDA,"AVENIDA MONSENHOR GERONIMO BAGGIO, 216",Vila Nova,BRANCA,6397,02/05/2022
AUTO POSTO PENTA 2002 LTDA,"RUA JOAQUIM MANUEL DE MACEDO, 156",Jd. Santa Genebra,BRANCA,6399,02/05/2022
NOTRE DAME AUTO POSTO DE COMBUSTÍVEIS LTDA.,"RUA ADALBERTO MAIA, 441",Taquaral,BRANCA,6399,02/05/2022
POSTO GARCIA DE CAMPINAS LTDA,"RODOVIA ANHANGUERA, S/N KM 99",Jardim Eulina,RAIZEN,6399,02/05/2022
AUTO POSTO CHACARA DO VOVO LTDA,"AVENIDA PADRE GASPAR BERTONI, 20",Jardim do Vovo,BRANCA,6399,02/05/2022
POSTO JARDIM DO TREVO LTDA,"AVENIDA BENEDITO DE CAMPOS, 193",Jardim do Trevo,RAIZEN,6450,02/05/2022
CENTRO AUTOMOTIVO PINDORAMA LTDA,"AVENIDA PRESIDENTE JUSCELINO, 170",Jardim Ipiranga,RAIZEN,6479,02/05/2022
AUTO POSTO BR CAROLINA FLORENCE LTDA,"RUA CAROLINA FLORENCE, 1.611",Vila Nova,VIBRA ENERGIA,6497,02/05/2022
AUTO POSTO JARDIM SANTA MONICA LTDA,"RUA SYLVIA DA SILVA BRAGA, 890",Jardim Santa Monica,RAIZEN,6497,02/05/2022
AUTO POSTO CAMPO DOS AMARAIS LTDA,"RUA SYLVIA DA SILVA BRAGA, 120",Jd Sao Marcos,IPIRANGA,6499,02/05/2022
AUTO POSTO PARQUE INDUSTRIAL LTDA,"RUA PADRE JOSE QUADROS, 351",Prq Industrial,VIBRA ENERGIA,6499,02/05/2022
CAMPINAS MODELO AUTO POSTO LTDA,"RUA PADRE MANOEL BERNARDES, 1070",Jd Ns Auxiliadora,IPIRANGA,6499,02/05/2022
CENTRO AUTOMOTIVO RIVIERA POMPEIA LTDA,"AVENIDA MIRANDOPOLIS, 702",Vila Pompeia,BRANCA,6499,02/05/2022
POSTO PARQUE TAQUARAL LTDA,"RUA ALMEIDA GARRET, 1845 TERREO",Taquaral,RAIZEN,6597,02/05/2022
COM.DE DERIVADOS DE PETROLEO PAULICEIA DE CAMPINAS LTDA,"RUA HAROLDO PARANHOS, 222",Jd Pauliceia,RAIZEN,6599,02/05/2022
POSTO E RESTAURANTE 3 VIAS LTDA,"RODOVIA ANHANGUERA, S/N KM 105",Nova Aparecida,RAIZEN,6599,02/05/2022
AUTO POSTO PASSARELA LTDA,"RUA MARIO ERBOLATO, 235",Pq Sta Barbara,BRANCA,6599,02/05/2022
SERV POSTO OASIS LTDA,"AVENIDA BARAO DE ITAPURA, 2890",Taquaral,IPIRANGA,6599,02/05/2022
AUTO POSTO PRECISAO LTDA,"RUA MANOEL CARVALHO PAES DE ANDRADE, 175",Jardim Campos Eliseos,RAIZEN,6649,02/05/2022
COMERCIAL JARDIM AURELIA DE CAMPINAS LTDA,"AVENIDA JOSE PANCETTI, 345",Vila Proost de Souza,BRANCA,6699,02/05/2022
POSTO AVENIDA NOSSA SENHORA DE FATIMA CAMPINAS LTDA,"AVENIDA NOSSA SENHORA DE FATIMA, 1432",Taquaral,RAIZEN,6699,02/05/2022
CENTRO AUTOMOTIVO RIVIERA CAMPINAS EIRELI,"RUA ROMUALDO ANDREAZZI, 430 .",Jardim Leonor,BRANCA,6699,02/05/2022
GIRAFA AUTO POSTO LTDA,"AVENIDA GOV PEDRO DE TOLEDO, 2500",Bonfim,RAIZEN,6699,02/05/2022
AUTO POSTO PORTAL DA LAGOA LTDA,"RUA DOUTOR ARMANDO SALES DE OLIVEIRA, 262",Taquaral,VIBRA ENERGIA,6699,02/05/2022
AUTO POSTO JARDIM DOM BOSCO LTDA,"AVENIDA NOSSA SRA DE FATIMA, 20",Jd Dom Bosco,BRANCA,6799,02/05/2022
