,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - CATANDUVA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
POSTO MEDITERRANEO CATANDUVENSE LTDA,"RUA OLIMPIA, 995",Distrito Industrial,BRANCA,6399,02/05/2022
MANFRIN E MARTANI & CIA LTDA,"RUA SETE DE SETEMBRO, 253",Higienopolis,VIBRA ENERGIA,6488,02/05/2022
SHEKYNAH COMERCIO DE COMBUSTIVEIS LTDA,"RUA BRASIL, 2155",Vila Juca Pedro,IPIRANGA,6490,02/05/2022
AVIP - COMERCIO DE PRODUTOS DE PETROLEO LTDA,"AVENIDA SAO DOMINGOS, 949",Vila Rodrigues,RAIZEN,6499,02/05/2022
COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,"RUA BRASIL, 1805",Centro,RAIZEN,6499,02/05/2022
AUTO POSTO CENTRAL DE CATANDUVA LTDA,"RUA PARAIBA, 194",Centro,IPIRANGA,6499,02/05/2022
VENI COMERCIO DE COMBUSTIVEIS LTDA,"RUA OLIMPIA, 680",Vl Paulista,VIBRA ENERGIA,6599,02/05/2022
NARDI COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA,"AVENIDA ENGENHEIRO JOSE NELSON MACHADO, 550",Parque Iracema,BRANCA,6699,02/05/2022
AUTO POSTO PARQUE GLORIA LTDA,"RUA ANTONIO GIROL, 693",Parque Gloria I,BRANCA,6700,02/05/2022
AUTO POSTO MACAPA EIRELI,"RUA MACAPA, 582",Jardim do Lago,BRANCA,6899,02/05/2022
TRIANON AUTO POSTO DE CATANDUVA LTDA,"AVENIDA ENG JOSE NELSON MACHADO, 1080",Centro,VIBRA ENERGIA,6899,02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6606,,,,
DESVIO PADRÃO,171,,,,
VALOR MÍNIMO,6399,,,,
VALOR MÁXIMO,6899,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
