,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - COSMOPOLIS,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
OTONI AUTO POSTO LTDA,"AVENIDA ESTER, 870",Centro,BRANCA,6399,05/05/2022
AUTO POSTO STOCCO EIRELI,"RUA ANTONIO CARLOS NOGUEIRA, 404",Centro,VIBRA ENERGIA,6490,05/05/2022
AUTO POSTO YASSER LTDA,"RUA CAMPINAS, 1000",Bela Vista,IPIRANGA,6599,05/05/2022
ADELINO RODRIGUES FILHO,"RUA CAMPINAS, 666",Jardim Bela Vista,BRANCA,6899,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6597,,,,
DESVIO PADRÃO,217,,,,
VALOR MÍNIMO,6399,,,,
VALOR MÁXIMO,6899,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
