,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - CRUZEIRO,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
POSTO 2 ABASTECIMENTO DE COMBUSTIVEIS LTDA,"RUA ENGENHEIRO ANTONIO PENIDO, 1349",Vila Canevari,BRANCA,6490,05/05/2022
POSTO 3 ABASTECIMENTO DE COMBUSTIVEIS LTDA,"AVENIDA GOVERNADOR JANIO QUADROS, 389",Doutor Joao Batista,BRANCA,6490,04/05/2022
REDE DE POSTOS SETE ESTRELAS LTDA,"AVENIDA ROTARY CLUBE, 768",Jardim América,BRANCA,6490,05/05/2022
POSTO TUPY LTDA,"RUA CEL JOSE DE CASTRO, 790",Centro,VIBRA ENERGIA,6620,05/05/2022
AUTO POSTO LIDER CRUZEIRO LTDA.,"RUA ENGENHEIRO ANTONIO PENIDO, 875",Vila Canevari,IPIRANGA,6740,05/05/2022
AUTO POSTO ESQUINA 3 LTDA,"RUA SANTA CRUZ, 51",Centro,RAIZEN,6890,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6620,,,,
DESVIO PADRÃO,166,,,,
VALOR MÍNIMO,6490,,,,
VALOR MÁXIMO,6890,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
