,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - DIADEMA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO RIO DE JANEIRO EIRELI,"AVENIDA ELDORADO (JD RUYCE), 928",Casa Grande,BRANCA,6170,04/05/2022
GRAN DIADEMA AUTO POSTO LTDA,"AVENIDA FAGUNDES DE OLIVEIRA, 1808",Vila Santa Rita,BRANCA,6190,04/05/2022
A.M. AUTO POSTO LTDA,"AVENIDA PIRAPORINHA, 1552",Vila Nogueira,BRANCA,6199,04/05/2022
CENTRO AUTOMOTIVO GENEVE EIRELI,"ESTRADA DO RUFINO, 830",Vila Nova Conceicao,BRANCA,6250,04/05/2022
D+ BRASIL AUTO POSTO EIRELI,"AVENIDA FAGUNDES DE OLIVEIRA, 935 CORREDOR ABD",Piraporinha,BRANCA,6279,04/05/2022
PORTAL DOIS COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,"AVENIDA CASA GRANDE, 2471",Jardim da Casa,IPIRANGA,6290,04/05/2022
AUTO POSTO RUYCE DIADEMA LTDA,"RUA DONA RUYCE FERRAZ ALVIM, 1443",Casa Grande,BRANCA,6299,04/05/2022
AUTO POSTO A.L. LTDA,"RUA ANTONIO DIAS ADORNO, 430",Vila Nogueira,BRANCA,6540,04/05/2022
AUTO POSTO RODICAR LTDA,"AVENIDA PIRAPORINHA, 998",Vila Nogueira,RAIZEN,6590,04/05/2022
ROSSO COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA,"AVENIDA CORREDOR ABD (VL S JOSE), 1127",Piraporinha,RAIZEN,6590,04/05/2022
AUTO POSTO FAMA LTDA,"AVENIDA FAGUNDES DE OLIVEIRA, 1655",Vila Sao Jose,IPIRANGA,6699,04/05/2022
CENTRO AUTOMOTIVO NAVEGANTES LTDA,"AVENIDA NOSSA SENHORA DOS NAVEGANTES, 927",Eldorado,BRANCA,6699,04/05/2022
AUTO POSTO COSTA AMALFITANA LTDA,"ESTRADA PEDREIRA ALVARENGA, 2483",Eldorado,BRANCA,6699,04/05/2022
ROFEC AUTO POSTO EIRELI,"AVENIDA ROBERTO GORDON, 570",Vila Mary,IPIRANGA,6790,04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6449,,,,
DESVIO PADRÃO,228,,,,
VALOR MÍNIMO,6170,,,,
VALOR MÁXIMO,6790,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
