,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - DRACENA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO EXPRESS DE DRACENA LTDA,"AVENIDA JOSE BONIFACIO, 1500",Centro,BRANCA,6590,05/05/2022
POSTO DA PRACA DE DRACENA LTDA.,"AVENIDA PRESIDENTE VARGAS, 761",Centro,RAIZEN,6690,05/05/2022
AUTO POSTO GT FERNANDES LTDA,"AVENIDA PRESIDENTE ROOSEVELT, 2122",Centro,VIBRA ENERGIA,6690,05/05/2022
AUTO POSTO COMAR LTDA,"AVENIDA PRESIDENTE VARGAS, 927",Centro,RAIZEN,6780,05/05/2022
POSTO SAO FRANCISCO DRACENA LTDA - EPP,"AVENIDA PRESIDENTE VARGAS, 1675",Centro,BRANCA,6890,05/05/2022
POSTO DRACENA LTDA,"AVENIDA PRESIDENTE ROOSEVELT, 1199",Centro,BRANCA,6890,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6755,,,,
DESVIO PADRÃO,121,,,,
VALOR MÍNIMO,6590,,,,
VALOR MÁXIMO,6890,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
