,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - FRANCA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
L. J. COMÉRCIO DE COMBUSTÍVEIS LTDA.,"AVENIDA ORLANDO DOMPIERI, 1980",Jardim Barao,BRANCA,6399,03/05/2022
POSTO SAO JORGE DE FRANCA LTDA,"RUA LIBERO BADARO, 1674",Centro,BRANCA,6450,03/05/2022
MAKRO ATACADISTA S.A,"RUA REYNALDO CHIOCA, 600 A",Parque Progresso,IPIRANGA,6470,03/05/2022
MÁRIO ROBERTO BRASILEIRA DE PETRÓLEO LTDA,"AVENIDA DOUTOR ISMAEL ALONSO Y ALONSO, 940",Jardim Veneza,IPIRANGA,6490,03/05/2022
POSTO MARIO ROBERTO JANJAO LTDA,"AVENIDA DR HELIO PALERMO, 3831",Jardim Maria Gabriela,VIBRA ENERGIA,6495,03/05/2022
AUTO POSTO CITY PETROPOLIS LTDA,"AVENIDA RICARTE SOARES SILVA, 1.300",Jardim Marambaia,VIBRA ENERGIA,6497,03/05/2022
AUTO POSTO SANTA GIANNA LTDA,"AVENIDA CHICO JULIO, 2.701",Jardim Integracao,RAIZEN,6497,03/05/2022
AUTO POSTO BARAO DA FRANCA EIRELI,"AVENIDA DOUTOR HELIO PALERMO, 3.595",Estacao,BRANCA,6499,03/05/2022
PAINEIRAO POSTO E RESTAURANTE - EIRELI,"RODOVIA CANDIDO PORTINARI, 406 SP 334 KM 406 MAIS",Parque Vicente Leporace I,BRANCA,6529,03/05/2022
POSTO CACULA LTDA,"AVENIDA MAJOR NICACIO, 2080",Centro,BRANCA,6590,03/05/2022
POSTO PAINEIRAO II LTDA,"RUA BENEDITO MERLINO, 930",Jardim Maria Rosa,IPIRANGA,6590,03/05/2022
POSTO INTEGRACAO DE FRANCA LTDA,"AVENIDA CHICO JULIO, 3501",Vila Chico Julio,VIBRA ENERGIA,6590,03/05/2022
AUTO POSTO PARQUE DO HORTO LTDA,"AVENIDA DOUTOR FLAVIO ROCHA, 6.251 : CHAC. STA TEREZINHA;",Jardim Redentor,BRANCA,6593,03/05/2022
JOFER AUTO POSTO LTDA,"AVENIDA DR ISMAEL ALONSO ALONSO, 2231",Centro,IPIRANGA,6599,03/05/2022
CITY POSTO DE FRANCA LTDA,"AVENIDA HELIO PALERMO, 2888",Jardim Samello,IPIRANGA,6599,03/05/2022
J. S. COMERCIO DE COMBUSTIVEIS LTDA,"AVENIDA DR. ISMAEL ALONSO Y ALONSO, 2.900",Sao Jose,BRANCA,6599,03/05/2022
POSTO CANDIAL LTDA,"AVENIDA PAULO R C COELHO, 751",Pq Castelo,VIBRA ENERGIA,6655,03/05/2022
AUTO POSTO MIRANDA DE FRANCA LTDA,"AVENIDA FREI GERMANO, 2266",Estacao,BRANCA,6749,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6549,,,,
DESVIO PADRÃO,84,,,,
VALOR MÍNIMO,6399,,,,
VALOR MÁXIMO,6749,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
