,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - GUARUJA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO FERRY BOAT DO GUARUJA LTDA,"AVENIDA DOUTOR ADHEMAR DE BARROS, 1500",Jardim Santa Maria,BRANCA,6439,03/05/2022
CARREFOUR COMERCIO E INDUSTRIA LTDA,"AVENIDA DOM PEDRO I, 2131 SETOR I",Jardim Belmar,IPIRANGA,6580,03/05/2022
AUTO POSTO BEACH BLUE LTDA,"AVENIDA SANTOS DUMONT, 555",Vila Santo Antonio,BRANCA,6799,03/05/2022
CENTRO AUTOMOTIVO MAR AZUL LTDA,"AVENIDA DOM PEDRO I, 1887",Enseada,IPIRANGA,6799,03/05/2022
AUTO POSTO TORTUGAS LTDA,"AVENIDA DOM PEDRO I, 1971",Enseada,BRANCA,6799,03/05/2022
CENTRO AUTOMOTIVO BY GRACE LTDA,"AVENIDA ADHEMAR DE BARROS, 586",Vila Santo Antonio,BRANCA,6799,03/05/2022
A G DE PINHO & CIA LTDA,"AVENIDA PUGLISI, 610",Centro,IPIRANGA,6868,03/05/2022
AUTO POSTO LA CANIZA LTDA,"AVENIDA ADHEMAR DE BARROS, 2795",Vila Santa Rosa,RAIZEN,6868,03/05/2022
POSTO DE SERVICOS VEREDA TROPICAL LTDA,"AVENIDA PUGLISI, 430",Centro,VIBRA ENERGIA,6999,03/05/2022
NOVO PORTO AUTO POSTO LTDA,"AVENIDA DOM PEDRO I, 941",Centro,VIBRA ENERGIA,7299,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6825,,,,
DESVIO PADRÃO,229,,,,
VALOR MÍNIMO,6439,,,,
VALOR MÁXIMO,7299,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
