,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - GUARULHOS,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO APCR EIRELI,"AVENIDA DONA EUGENIA MACHADO DA SILVA, 313",Vila Galvao,BRANCA,6210,02/05/2022
AUTO POSTO UNIVERSITARIO DE GUARULHOS LTDA,"RUA MARIA GODINHO, 30 ESQ C/ AV TIRADENTES",Centro,BRANCA,6249,02/05/2022
AUTO POSTO PRISCILA LTDA,"RUA PRIMEIRO-TENENTE-AVIADOR JOAO MAURICIO CAMPOS MEDE, 200",Vila Herminia,BRANCA,6299,02/05/2022
NIKIGAS COMERCIAL LTDA,"AVENIDA GUARULHOS, 4389",Jd Ponte Grande,BRANCA,6399,02/05/2022
COMPANHIA BRASILEIRA DE DISTRIBUICAO,"RUA ATTILIO TREVISAN, 79 PARTE DOS LOTES 17 AQUADRA18",Jardim Santa Francisca,IPIRANGA,6399,02/05/2022
AUTO POSTO CARROSSEL LTDA,"RUA GENERAL OSORIO, 200",Centro,RAIZEN,6399,02/05/2022
AUTO POSTO STERFESON LTDA,"AVENIDA GUARULHOS, 4105",Ponte Grande,BRANCA,6399,02/05/2022
NIKIGAS COMERCIAL LTDA,"RUA PADRE CELESTINO, 426",Jd Santa Francisca,BRANCA,6399,02/05/2022
AUTO POSTO EMIRADOS COMBUSTÍVEIS E CONVENIÊNCIA LTDA.,"AVENIDA PRESIDENTE HUMBERTO DE ALENCAR CASTELO BRANCO, 1318",Vila Augusta,IPIRANGA,6399,02/05/2022
AUTO POSTO VILA GALVAO LTDA,"RUA TREZE DE MAIO, 313",Vila Galvo,RAIZEN,6499,02/05/2022
AUTO POSTO MANCINI LTDA,"AVENIDA ANIELLO PRATICI, 20",Jardim Sta Francisca,RAIZEN,6499,02/05/2022
MAKRO ATACADISTA S.A,"RUA CARLOS LEAL EVANS, 252",Jd. Santa Francisca,IPIRANGA,6579,02/05/2022
ARGETAX ADMINISTRACAO E PARTICIPACOES EM EMPREENDIMENTOS COMERCIAIS LTDA,"AVENIDA CARLOS FERREIRA ENDRES, 875 A",V. Endres,RAIZEN,6599,02/05/2022
AUTO POSTO VILA AUGUSTA LIMITADA,"AVENIDA GUARULHOS, 1441",Vila Augusta,ALESAT,6599,02/05/2022
R.Q.O AUTO POSTO LTDA,"AVENIDA SAO PAULO, 175",Cidade Brasil,BRANCA,6599,02/05/2022
CENTRO AUTOMOTIVO GUARULHOS LTDA,"AVENIDA ROTARY, 710",Vila das Bandeiras,BRANCA,6699,02/05/2022
AUTO POSTO R66 LTDA,"AVENIDA GUARULHOS, 2316",Vila Augusta,BRANCA,6699,02/05/2022
AUTO POSTO BRILHANTE LTDA,"RUA SILVESTRE VASCONCELOS CALMON, 491 0",Vila Pedro Moreira,IPIRANGA,6749,02/05/2022
AUTO POSTO PORTAL DE GUARULHOS LTDA,"RUA BARAO DE MAUA, 92",Parque Estrela,IPIRANGA,6749,02/05/2022
A P SOUZA LTDA,"AVENIDA EMILIO RIBAS, 2727",Guarulhos 3,IPIRANGA,6999,02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6521,,,,
DESVIO PADRÃO,196,,,,
VALOR MÍNIMO,6210,,,,
VALOR MÁXIMO,6999,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
