,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - HORTOLANDIA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
COMERCIAL HEMAVI LTDA,"AVENIDA JOSE AUGUSTO DE ARAUJO, 76",Vila Real Santista,BRANCA,6199,02/05/2022
AUTO POSTO BOAZ LTDA.,"RUA ANTONIO FERNANDES LEITE, 20",Jardim Santa Isabel,BRANCA,6299,02/05/2022
AUTO POSTO CAMPINAS MONTE MOR LTDA,"RUA MARG A EST. MUNICIPAL, S/N KM 7",Jd Sta Izabel,IPIRANGA,6299,02/05/2022
JONELLUS AUTO POSTO LTDA.,"RUA ANTONIO FERNANDES LEITE, 756",Nucleo Santa Izabel,BRANCA,6299,02/05/2022
POSTO ABBA LTDA,"AVENIDA JOAO COELHO, 305",Chacara Fazenda Coelho,BRANCA,6299,02/05/2022
AUTO POSTO DA ILHA LTDA,"AVENIDA DA EMACIPACAO, 2.200",Jardim Santana,VIBRA ENERGIA,6390,02/05/2022
CENTRO COMERCIAL DE COMBUSTIVEIS HORTOLANDIA LTDA,"AVENIDA ANHANGUERA, 150",Vila Real,BRANCA,6489,02/05/2022
AUTO POSTO GH DE HORTOLANDIA EIRELI,"RUA LUIZ CAMILO DE CAMARGO, 2000",Jardim das Paineiras,BRANCA,6499,02/05/2022
AUTO POSTO REMANSO LTDA,"RUA LUIZ CAMILO DE CAMARGO, 840",Remanso Campineiro,IPIRANGA,6599,02/05/2022
AUTO POSTO GRUMARI HORTOLANDIA LTDA,"AVENIDA ANHANGUERA, 1001",Vila Real,RAIZEN,6599,02/05/2022
COMERCIAL APOLLO LTDA,"RUA DOS ESTUDANTES, 41",Jardim Santa Rita,VIBRA ENERGIA,6699,02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6425,,,,
DESVIO PADRÃO,162,,,,
VALOR MÍNIMO,6199,,,,
VALOR MÁXIMO,6699,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
