,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - IBITINGA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO CAPIM FINO LTDA,"AVENIDA ENGENHEIRO IVANIL FRANCISCHINI, 8-40",Centro,BRANCA,6469,03/05/2022
TITICO AUTO POSTO LTDA,"IBG - TIAGO SIMÕES, S/N",Sao Joao,BRANCA,6469,03/05/2022
PETROIBI COMERCIO DE DERIVADOS DO PETROLEO LTDA,"RUA SETE DE SETEMBRO, 495",-,BRANCA,6550,03/05/2022
COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,"AVENIDA DAS BORDADEIRAS, 955 BLOCO: 3;",Jardim dos Bordados,RAIZEN,6590,03/05/2022
CIDACOM MERCANTIL DE COMBUSTIVEIS LTDA,"RUA PRUDENTE DE MORAIS, 345",Centro,BRANCA,6990,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6614,,,,
DESVIO PADRÃO,217,,,,
VALOR MÍNIMO,6469,,,,
VALOR MÁXIMO,6990,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
