,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - INDAIATUBA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO CIDADE DO SOL II LTDA,"AVENIDA FRANCISCO DE PAULA LEITE, 2393",Jardim Kioto I,VIBRA ENERGIA,6240,03/05/2022
CENTRO AUTOMOTIVO RIVIERA TROPICAL LTDA,"AVENIDA FRANCISCO DE PAULA LEITE, 2089",Jd. Tropical,RAIZEN,6289,03/05/2022
AUTO POSTO PORTAL DE INDAIATUBA LTDA,"RUA TUIUTI, 238",Jardim Rossignatti,BRANCA,6399,03/05/2022
HELVETIA COMERCIO DE COMBUSTIVEIS E SERVICOS LTDA,"AVENIDA FRANCISCO DE PAULA LEITE, 71",Santa Cruz,VIBRA ENERGIA,6590,03/05/2022
COMERCIAL VIHEMA LTDA,"RUA ADEMAR DE BARROS, 2160",Vila Georgina,VIBRA ENERGIA,6590,03/05/2022
AUTO POSTO JARDIM COLONIAL LTDA,"AVENIDA MANOEL RUZ PERES, 2550",Jardim Hubert,RAIZEN,6590,02/05/2022
AUTO POSTO NOVA SUICA LTDA,"AVENIDA CONCEICAO, 2960",Vila Areal,BRANCA,6597,03/05/2022
AUTO POSTO ESPLANADA DE INDAIA LTDA,"AVENIDA ENGENHEIRO FABIO ROBERTO BARNABE, 2430",Jardim Esplanada,BRANCA,6599,03/05/2022
ABDELNOR II COMÉRCIO DE COMBUSTÍVEIS LTDA.,"AVENIDA PRESIDENTE KENNEDY, 728 ANTIGO Nº 180",Cidade Nova,IPIRANGA,6690,03/05/2022
AUTO POSTO AMCG LTDA,"AVENIDA CONCEICAO, 1828",Vila Maria Helena,BRANCA,6697,03/05/2022
AUTO POSTO TRE FRATELLI LTDA,"AVENIDA PRESIDENTE VARGAS, 1475",Cidade Nova,RAIZEN,6699,03/05/2022
POSTO DOS ESTEVES LTDA,"AVENIDA ITORORO, 160",Centro,IPIRANGA,6729,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6559,,,,
DESVIO PADRÃO,163,,,,
VALOR MÍNIMO,6240,,,,
VALOR MÁXIMO,6729,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
