,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITANHAEM,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO POR DO SOL LTDA,"RUA JOAO MARIANO FERREIRA, 370",Cidade de Anchieta,VIBRA ENERGIA,6990,05/05/2022
AUTO POSTO VILA SAO PAULO EIRELI,"RUA JOAO MARIANO FERREIRA, 355",Cidade Anchieta,IPIRANGA,6999,05/05/2022
MANUEL R PERDIGAO & CIA LTDA,"RUA JOAO MARIANO FERREIRA, 331",Cidade de Anchieta,IPIRANGA,7390,05/05/2022
AUTO POSTO NOVA ITANHAEM LTDA,"RUA MAMBU, 551",Nova Itanhaem,ALESAT,7460,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,7210,,,,
DESVIO PADRÃO,250,,,,
VALOR MÍNIMO,6990,,,,
VALOR MÁXIMO,7460,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
