,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITAPETININGA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO SANTA RITA DE CASSIA ITAPETININGA LTDA,"RUA DR. FERNANDO COSTA, 151",Jardim Casa Grande,BRANCA,6239,04/05/2022
AUTO POSTO ATENAS DO SUL EIRELI,"RUA PADRE ALBUQUERQUE, 1017 1019",Centro,BRANCA,6249,04/05/2022
AUTO POSTO ITAPETININGA LTDA,"RUA CEL AFONSO, 393",Centro,BRANCA,6299,04/05/2022
AUTO POSTO SIQUELERO DE ITAPETININGA LTDA,"RODOVIA RAPOSO TAVARES, S/N 81 GI-C",Chapada Grande,RAIZEN,6400,05/05/2022
AUTO POSTO AURORA DE ITAPETININGA LTDA,"RUA DR. COUTINHO, 1.049",Parque da Lagoa,RAIZEN,6699,04/05/2022
AUTO POSTO MIQUIRA III LTDA,"AVENIDA 5 DE NOVEMBRO, 900",Vila Rubens,RAIZEN,6899,04/05/2022
AUTO POSTO APARECIDA DE ITAPETININGA LTDA,"RUA JOSE DE ALMEIDA CARVALHO, 248",Centro,VIBRA ENERGIA,6979,04/05/2022
AUTO POSTO SARUTAYA LTDA,"RUA SALVADOR DE OLIVEIRA LEME, 80",Centro,VIBRA ENERGIA,7099,05/05/2022
AUTO POSTO BR 65 LTDA,"RUA ANTONIO FOGAÇA DE ALMEIDA, 498",Centro,VIBRA ENERGIA,7290,04/05/2022
AUTO POSTO BR 64 LTDA,"RUA QUINTINO BOCAIUVA, 64",Centro,VIBRA ENERGIA,7299,04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6745,,,,
DESVIO PADRÃO,426,,,,
VALOR MÍNIMO,6239,,,,
VALOR MÁXIMO,7299,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
