,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITAPIRA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO SMC LTDA,"RUA CONSELHEIRO LAURINDO, 458",Cubatao,RAIZEN,6499,05/05/2022
AUTO POSTO PANORAMA DE ITAPIRA LTDA.,"AVENIDA DOS ITALIANOS, 2300",Prados,IPIRANGA,6599,05/05/2022
POSTO RIO BRANCO LTDA,"AVENIDA RIO BRANCO, 431",Centro,BRANCA,6690,05/05/2022
AUTO POSTO SKINA ITALIANOS LTDA.,"AVENIDA DOS ITALIANOS, 1840",Prados,RAIZEN,6690,05/05/2022
AUTO POSTO J N DE ITAPIRA LTDA - ME,"RUA DR FRCO DE P M BARBOSA, 680",Centro,BRANCA,6870,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6670,,,,
DESVIO PADRÃO,137,,,,
VALOR MÍNIMO,6499,,,,
VALOR MÁXIMO,6870,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
