,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITAPOLIS,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO OROESTE DE ITAPOLIS LTDA - EPP,"AVENIDA ORESTE DA COSTA SENE JUNIOR, 193",Jardim Redencao,BRANCA,6399,02/05/2022
AUTO POSTO E CONVENIENCIA BHX LTDA,"RUA JOSE ROSSI, 685",Centro,BRANCA,6399,02/05/2022
COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS,"AVENIDA CARLOS ADOLFSON, 2070",Centro,IPIRANGA,6699,02/05/2022
MATHEUS GALLO,"AVENIDA FRANCISCO PORTO, 717",Centro,BRANCA,6799,02/05/2022
AUTO POSTO GUIDORZI DE ITAPOLIS LTDA,"RUA BARAO DO RIO BRANCO, 532",Centro,VIBRA ENERGIA,6849,02/05/2022
AUTO POSTO LUCILIO LTDA,"AVENIDA SETE DE SETEMBRO, 1933",Cidade,BRANCA,7000,02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6691,,,,
DESVIO PADRÃO,246,,,,
VALOR MÍNIMO,6399,,,,
VALOR MÁXIMO,7000,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
