,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITAQUAQUECETUBA,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO ARACARE LTDA,"AVENIDA ITALO ADAMI, 85",Aracare,BRANCA,6099,04/05/2022
AUTO POSTO ITQ LTDA,"ESTRADA SAO PAULO - MOGI, 215",Vila Monte Belo,ALESAT,6497,04/05/2022
AUTO POSTO TAQUA LTDA,"ESTRADA ALBERTO HINOTO, 3460",Vila Japao,RAIZEN,6499,04/05/2022
DAVO SUPERMERCADOS LTDA,"AVENIDA ITALO ADAMI, 1809 LETRA: B;",Vila Zeferina,IPIRANGA,6499,04/05/2022
AUTO POSTO VILA VIRGINIA LTDA,"AVENIDA - VEREADOR JOAO FERNANDES DA SILVA, 1030",Vl Virginia,BRANCA,6580,04/05/2022
AUTO POSTO GOIÓ LTDA,"AVENIDA ITALO ADAMI, 1313",Jardim Goncalves / Morro Branco,IPIRANGA,6597,04/05/2022
AUTO POSTO VISAO LTDA,"ESTRADA SAO PAULO MOGI, 1978",Jardim Luciana,IPIRANGA,6597,04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6481,,,,
DESVIO PADRÃO,175,,,,
VALOR MÍNIMO,6099,,,,
VALOR MÁXIMO,6597,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
