,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - ITU,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
CARREFOUR COMERCIO E INDUSTRIA LTDA,"AVENIDA DOUTOR OTAVIANO PEREIRA MENDES, 940 SETOR I",Liberdade,IPIRANGA,6280,04/05/2022
AUTO POSTO CLASSE A DE ITU LTDA.,"RODOVIA MARECHAL RONDON, 363",Chafariz,BRANCA,6299,02/05/2022
CENTRO AUTOMOTIVO SAVONA LTDA.,"AVENIDA DOUTOR OCTAVIANO PEREIRA MENDES, 554",Jardim Corazza,VIBRA ENERGIA,6390,04/05/2022
COMPANHIA BRASILEIRA DE DISTRIBUICAO,"RODOVIA MARECHAL RONDON, KM 105",Jardim Paraiso,BRANCA,6390,04/05/2022
AUTO POSTO NOSSA SENHORA DA OLIVEIRA LTDA,"RUA ZORAIDE ARVIERE BONINI, S/N",Vila Martins,IPIRANGA,6399,04/05/2022
NOSSO POSTO DE ITU LTDA.,"RUA MAESTRO ISAIAS SPARANINZE BELCUFINE, 114",Vila Padre Bento,BRANCA,6439,02/05/2022
AUTO POSTO CEIBA SPECIOSA LTDA,"AVENIDA ERMELINDO MAFFEI, 696",Chafaris,RAIZEN,6490,04/05/2022
POSTO AVENIDA MARGINAL ITU LTDA,"AVENIDA DR OTAVIANO PEREIRA MENDES, 970",Bairro Taboao,RAIZEN,6490,04/05/2022
POSTO 9 DE JULHO DE ITU EIRELI,"AVENIDA 9 DE JULHO, 620",Jardim Padre Bento,IPIRANGA,6499,04/05/2022
POSTO PUMA EIRELI,"AVENIDA EUGEN WISSMANN, 55",Sao Luiz,RAIZEN,6599,04/05/2022
GANDINI AUTO CENTER LTDA,"PRACA DUQUE DE CAXIAS, 271",Centro,BRANCA,6599,04/05/2022
AUTO POSTO 3 W LTDA,"AVENIDA DR. OCTAVIANO PEREIRA MENDES, S/N",Centro,RAIZEN,6640,04/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6460,,,,
DESVIO PADRÃO,115,,,,
VALOR MÍNIMO,6280,,,,
VALOR MÁXIMO,6640,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
