,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - JACAREI,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
AUTO POSTO RETAO DA DUTRA LTDA,"AVENIDA SIQUEIRA CAMPOS, 641",Centro,BRANCA,6190,05/05/2022
SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,"RUA BARAO DE JACAREI, 300",Centro,BRANCA,6290,05/05/2022
SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA,"AVENIDA MALEK ASSAD, 690",Jardim Santa Maria,BRANCA,6290,05/05/2022
MILLENIUM & AUTO POSTO LTDA,"RUA RUI BARBOSA, 312",Centro,BRANCA,6400,05/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6293,,,,
DESVIO PADRÃO,86,,,,
VALOR MÍNIMO,6190,,,,
VALOR MÁXIMO,6400,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
