,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - JAU,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
CENTRO AUTOMOTIVO TERRAZZA LTDA .,"AVENIDA ANNA CLAUDINA, 661",Jardim Estadio,IPIRANGA,6590,03/05/2022
POSTO NOSSO RANCHO LTDA.,"AVENIDA JOAO FRANCESCHI, 3800",Jardim Parati,BRANCA,6800,03/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6695,,,,
DESVIO PADRÃO,148,,,,
VALOR MÍNIMO,6590,,,,
VALOR MÁXIMO,6800,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
