,,,,,
"AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP",,,,,
,,,,,
,,,,,
COORDENADORIA DE DEFESA DA CONCORRÊNCIA,,,,,
,,,,,
,,,,,
SISTEMA DE LEVANTAMENTO DE PREÇOS,,,,,
,,,,,
,,,,,
,,,,,
Síntese dos Preços Praticados - JOSE BONIFACIO,,,,,
Resumo I - OLEO DIESEL S10 R$/l,,,,,
Período: de 01/05/2022 a 07/05/2022,,,,,
,,,,,
RELAÇÃO DE POSTOS PESQUISADOS,,,,,
RAZÃO SOCIAL,ENDEREÇO,BAIRRO,BANDEIRA,PREÇO VENDA,DATA COLETA
RODANTE & RODANTE LTDA,"RUA 21 DE ABRIL, 376",Centro,BRANCA,6389,02/05/2022
AUTO POSTO TAKÁO LTDA.,"RODOVIA BR 153, S/N KM 99",Zona Rural,BRANCA,6390,02/05/2022
AUTO POSTO TAKAO JOSE BONIFACIO LTDA,"RODOVIA SP 425 - ASSIS CHATEAUBRIAND, S/N KM 232+206 METROS",Zona Rural,BRANCA,6399,02/05/2022
AUTO POSTO CERRADAO J B LTDA,"AVENIDA JOSE ANTONIO PINTO, 842 TERREO",Vila Saudade,BRANCA,6650,02/05/2022
AUTO POSTO SÃO JOSÉ JB LTDA,"RUA SANTOS DUMONT, 225",São José,IPIRANGA,6750,02/05/2022
AUTO POSTO CENTRAL J.B.LTDA,"AVENIDA 9 DE JULHO, 971",Centro,IPIRANGA,6750,02/05/2022
AUTO POSTO JOSE BONIFACIO LIMITADA,"AVENIDA JOAQUIM M. DA SILVA, 2507",Sao Jose,VIBRA ENERGIA,6759,02/05/2022
AUTO POSTO TMJ - JOSE BONIFACIO LTDA.,"AVENIDA JOAQUIM MOREIRA DA SILVA, 2875",Jardim Panorama,BRANCA,6890,02/05/2022
AUTO POSTO EDUARDO LIMITADA,"AVENIDA 9 DE JULHO, 284",-,RAIZEN,6899,02/05/2022
,,,,,
PREÇO VENDA,,,,,
MÉDIA,6653,,,,
DESVIO PADRÃO,209,,,,
VALOR MÍNIMO,6389,,,,
VALOR MÁXIMO,6899,,,,
,,,,,
Data de Emissão : 10/05/2022,,,,,
